"","burial.number","Latitude","Longitude"
"116","5_163",37.9406372167809,23.6936189395261
"117","5_141",37.940627662916,23.6936034066638
"118","5_142",37.9406239542125,23.6936130919613
"119","5_127",37.9406127117265,23.6935977152354
"120","5_152",37.9406150624972,23.6936494082308
"121","5_213",37.9406311328632,23.6936718763371
"122","5_143",37.9406081164456,23.6936553504156
"123","5_153",37.9406112499353,23.6936679637346
"124","5_145",37.9406271654513,23.6936794846752
"125","5_106",37.9406208989344,23.6936788712653
"126","5_107",37.9406176754028,23.6936804028498
"127","5_129",37.9406050261022,23.6936354660685
"128","5_083",37.9406056218734,23.6936454520367
"129","5_104",37.9406069839592,23.6936823661956
"130","5_131",37.9406060811453,23.6937000298549
"131","5_130",37.9406040428687,23.6937191367185
"132","5_170",37.9406001189534,23.6936707278113
"133","5_212",37.9406361311257,23.6937436956784
"134","5_225",37.9406214612397,23.6937487118754
"135","5_169",37.9405923261731,23.6937339993102
"136","5_191",37.9405865423328,23.6937156693703
"137","5_192",37.9405786163757,23.6937098336562
"138","5_132",37.9405741550338,23.6937057314882
"139","5_102",37.9405911834808,23.6936751943125
"140","5_075",37.9405858668999,23.6936842069124
"141","5_078",37.9405847591026,23.69367659473
"142","5_167",37.9405967698545,23.6936563173132
"143","5_079",37.9405718651465,23.6936617904961
"144","5_136",37.9406011770539,23.6936022335687
"145","5_093",37.9405776557439,23.6936073265831
"146","5_109",37.9405766585289,23.6936040839598
"147","5_144",37.9405782978947,23.6935882198634
"148","5_070",37.9405840562754,23.6935548436933
"149","5_197",37.9405869502651,23.6935482788538
"150","5_055",37.9405922585797,23.6935450599687
"151","5_059",37.9405801384949,23.6935328836397
"152","5_202",37.9405662830316,23.6934380074172
"153","5_139",37.9405507756235,23.6934374326366
"154","5_060",37.9405659143524,23.6935387765687
"155","5_101",37.9405532512445,23.6935367525614
"156","5_161",37.9405545349908,23.693567832363
"157","5_069",37.9405637184376,23.693594724247
"158","5_068",37.9405609418069,23.6936216660769
"159","5_135",37.9405494044333,23.6936385752341
"160","5_097",37.9405637918033,23.6936468261635
"161","5_084",37.9405537201482,23.6936435110393
"162","5_133",37.9405493333287,23.6936840441942
"163","5_095",37.9405406695454,23.6936625045431
"164","5_053",37.9405130246825,23.6935099550769
"165","5_051",37.9405085197234,23.6935267051329
"166","5_151",37.9405078651538,23.6935410674621
"167","5_085",37.9405185572538,23.693545892414
"168","5_116",37.9405155600099,23.6935718757956
"169","5_081",37.9405210432199,23.6935511260499
